# Harbour function table — used by the C# transpiler
#
# Combines two pieces of information about each known Harbour function:
#   1. RETTYPE: declared/inferred return type, used by type propagation.
#               One of STRING NUMERIC LOGICAL DATE ARRAY HASH OBJECT BLOCK
#               or "-" if unknown / void / procedure.
#   2. PREFIX:  namespace to remap calls to. e.g., a function with prefix
#               "HbRuntime" produces `HbRuntime.NAME(...)` in C#.
#               Use "-" if the function is called as-is (no remap).
#
# Format: NAME<TAB>RETTYPE<TAB>PREFIX
# Lines starting with `#` and blank lines are ignored. Names are
# case-insensitive but conventionally written UPPERCASE.
#
# THIS FILE IS GENERATED — see src/transpiler/tools/genfunctab.py
# To override an entry, add a row to a hand-curated overrides file
# (loaded after this one) rather than editing here directly.

HB_IDLEADD	NUMERIC	-
HB_IDLEDEL	BLOCK	-
HB_INETADDRESS	STRING	-
HB_INETCLOSE	NUMERIC	-
HB_INETCOUNT	NUMERIC	-
HB_INETCRLF	STRING	-
HB_INETDATAREADY	NUMERIC	-
HB_INETDGRAMRECV	NUMERIC	-
HB_INETDGRAMSEND	NUMERIC	-
HB_INETERRORCODE	NUMERIC	-
HB_INETERRORDESC	STRING	-
HB_INETFD	NUMERIC	-
HB_INETGETALIAS	ARRAY	-
HB_INETGETHOSTS	ARRAY	-
HB_INETGETRCVBUFSIZE	NUMERIC	-
HB_INETGETSNDBUFSIZE	NUMERIC	-
HB_INETINIT	LOGICAL	-
HB_INETISSOCKET	LOGICAL	-
HB_INETPORT	STRING	-
HB_INETRECV	NUMERIC	-
HB_INETRECVALL	NUMERIC	-
HB_INETRECVENDBLOCK	STRING	-
HB_INETRECVLINE	STRING	-
HB_INETSEND	NUMERIC	-
HB_INETSENDALL	NUMERIC	-
HB_INETSETRCVBUFSIZE	NUMERIC	-
HB_INETSETSNDBUFSIZE	NUMERIC	-
HB_INETSTATUS	NUMERIC	-
HB_INETTIMEOUT	NUMERIC	-
HB_LANGERRMSG	STRING	-
HB_LANGMESSAGE	STRING	-
HB_LANGNAME	STRING	-
HB_LANGSELECT	STRING	-
HB_LEFTEQ	LOGICAL	-
HB_LEFTEQI	LOGICAL	-
HB_MATHERBLOCK	BLOCK	-
HB_MATHERMODE	NUMERIC	-
HB_MEMOREAD	STRING	-
HB_MEMOWRIT	LOGICAL	-
HB_NTOC	STRING	-
HB_NTOS	STRING	-
HB_PISBYREF	LOGICAL	-
HB_RAT	NUMERIC	-
HB_SETMACRO	LOGICAL	-
HB_TRANSLATE	STRING	-
HB_UNZIPFILE	LOGICAL	-
HB_VALTOSTR	STRING	-
HB_WEEK	NUMERIC	-
HB_ZIPFILE	LOGICAL	-
HB_ZIPFILEBYPKSPAN	LOGICAL	-
HB_ZIPFILEBYTDSPAN	LOGICAL	-
HEADER	NUMERIC	-
I2BIN	STRING	-
INDEXEXT	STRING	-
INDEXKEY	STRING	-
INDEXORD	NUMERIC	-
INFINITY	NUMERIC	-
INKEY	NUMERIC	-
INT	NUMERIC	HbRuntime
ISAFFIRM	LOGICAL	-
ISALPHA	LOGICAL	HbRuntime
ISDIGIT	LOGICAL	HbRuntime
ISDISK	LOGICAL	-
ISLEAP	LOGICAL	-
ISLEAPYEAR	LOGICAL	-
ISLOWER	LOGICAL	HbRuntime
ISNEGATIVE	LOGICAL	-
ISUPPER	LOGICAL	HbRuntime
JUSTLEFT	STRING	-
JUSTRIGHT	STRING	-
KSETCAPS	LOGICAL	-
KSETINS	LOGICAL	-
KSETNUM	LOGICAL	-
KSETSCROLL	LOGICAL	-
L2BIN	STRING	-
LASTDAYOM	NUMERIC	-
LASTKEY	NUMERIC	-
LASTREC	NUMERIC	-
LEFT	STRING	HbRuntime
LEN	NUMERIC	HbRuntime
LOG	NUMERIC	HbRuntime
LOG10	NUMERIC	-
LOWER	STRING	HbRuntime
LTRIM	STRING	HbRuntime
LUPDATE	DATE	-
MAKEDIR	NUMERIC	-
MANTISSA	NUMERIC	-
MAX	-	HbRuntime
MAXCOL	NUMERIC	-
MAXROW	NUMERIC	-
MCOL	NUMERIC	-
MDY	STRING	-
MEMOREAD	STRING	-
MEMOTRAN	STRING	-
MEMOWRIT	LOGICAL	-
MEMVARBLOCK	BLOCK	-
MIN	-	HbRuntime
MOD	-	HbRuntime
MONTH	NUMERIC	-
MROW	NUMERIC	-
NATIONMSG	STRING	-
NETERR	LOGICAL	-
NEXTKEY	NUMERIC	-
NTOCDOW	STRING	-
NTOCMONTH	STRING	-
NUMAT	NUMERIC	-
NUMTOKEN	NUMERIC	-
ORDBAGEXT	STRING	-
ORDBAGNAME	STRING	-
ORDFOR	STRING	-
ORDKEY	STRING	-
OS	STRING	-
PADC	STRING	HbRuntime
PADL	STRING	HbRuntime
PADLEFT	STRING	-
PADR	STRING	HbRuntime
PADRIGHT	STRING	-
PAYMENT	NUMERIC	-
PCOUNT	NUMERIC	-
PERIODS	NUMERIC	-
PI	NUMERIC	-
POSALPHA	NUMERIC	-
POSCHAR	STRING	-
POSDEL	STRING	-
POSDIFF	NUMERIC	-
POSEQUAL	NUMERIC	-
POSINS	STRING	-
POSLOWER	NUMERIC	-
POSRANGE	NUMERIC	-
POSREPL	STRING	-
POSUPPER	NUMERIC	-
PRINTREADY	LOGICAL	-
PRINTSTAT	NUMERIC	-
